ID,z,logM,logM_low,logM_up,SFR,SFR_low,SFR_up,r_e,r_eErr
ZD1,7.663,8.4,-0.2,0.18,1.15,-0.45,0.54,119,7
ZD2,7.665,9.03,-0.14,0.13,5.74,-1.69,1.72,282,8
ZD3,8.499,7.75,-0.15,0.19,0.27,-0.07,0.11,10,1
ZD4,9.78,8.55,-0.9,0.8,0.3,-0.18,0.66,237,22
ZD5p,8.65,8.62,-1.03,0.51,1.14,-1.06,4.21,184,12
ZD6p,7.58,8.74,-0.07,0.09,3.07,-0.44,0.62,176,23
ZD7p,10.5,8.87,-0.67,0.32,0.64,-0.47,1.87,101,18
ZD8p,10.01,8.54,-0.42,0.34,1.27,-0.99,1.39,217,31
HD1,13.62,8.51,-0.4,0.43,1.25,-0.68,1.7,160,29
HD2,13.16,8.56,-0.86,1.04,0.65,-0.57,3.48,129,13
HD3p,13.45,7.94,-0.45,0.47,0.3,-0.19,0.49,29,6
